# Actions and States
# action[0], ..., state[0], ..., command[0], ...
-0.2736866474 0.2412694395 0.1428779364 -0.0724085197 0.1906496252 0.1661393435 -0.1271649589 0.0000000000 0.0000000000 0.0000000000 0.5370070103 0.8435777800 0.0000000000 -0.8435777800 0.5370070103 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000056391 0.0000049141 -0.0000037613 0.0021035511 0.0000052589 0.1861650348 0.1622313112 -0.1241737008 -0.4431424737 -0.3861712217 0.2955798805 0.5405512584 0.8413110822 0.0000000000 0.0000000000 0.0000000000 -0.4207086000
-0.2223739475 0.2205091864 0.0964374691 -0.0676551759 0.1906496382 0.1661393501 -0.1269989449 0.0000086683 0.0000044086 0.0664055777 0.5370543503 0.8435475828 -0.0003169957 -0.8435475785 0.5370544179 0.0001872165 0.0003281700 0.0001668555 0.9999999322 0.0748908687 0.1267681022 -0.0224699649 0.0000224895 0.0000195982 -0.0000145856 0.0041508838 0.0000208943 0.1839624643 0.1603118926 -0.1227045581 -0.4378995001 -0.3816023171 0.2920827866 0.5423196908 0.8401720958 -0.0003181604 0.0000000000 0.0000000000 -0.4206849969
-0.1523957551 0.1968595982 0.0523344986 -0.0614741147 0.1906499215 0.1661394922 -0.1263992370 0.0001081673 0.0000537472 0.1568761652 0.5372160940 0.8434436077 -0.0013224761 -0.8434434703 0.5372173021 0.0008262840 0.0014073810 0.0006715407 0.9999987842 0.1620785184 0.2437094175 -0.0490223453 0.0000504190 0.0000439366 -0.0000308850 0.0060611172 0.0000464210 0.1817859411 0.1584151983 -0.1212528050 -0.4327185750 -0.3770874441 0.2886270583 0.5440840616 0.8390286053 -0.0013291771 0.0000000000 0.0000000000 -0.4204953093
-0.0742183402 0.1773296893 0.0263878889 -0.0555871017 0.1906512848 0.1661401420 -0.1253124009 0.0004178234 0.0001951995 0.2593909660 0.5374815723 0.8432709683 -0.0027628807 -0.8432699217 0.5374870467 0.0018744794 0.0030657067 0.0013223561 0.9999944264 0.2403473515 0.3109744486 -0.0731792604 0.0000892991 0.0000778164 -0.0000502695 0.0078439256 0.0000811752 0.1796351671 0.1565409303 -0.1198182255 -0.4275989532 -0.3726260066 0.2852122188 0.5458411349 0.8378794563 -0.0027813793 0.0000000000 0.0000000000 -0.4200463937
0.0136514166 0.1619612426 0.0129469624 -0.0498882085 0.1906551477 0.1661418562 -0.1236718422 0.0010610075 0.0004584205 0.3758205995 0.5378390310 0.8430358960 -0.0044333790 -0.8430317791 0.5378537001 0.0032888741 0.0051571483 0.0019685946 0.9999847641 0.3107533218 0.3453010698 -0.0949174891 0.0001390090 0.0001211280 -0.0000700505 0.0095103057 0.0001245449 0.1775098592 0.1546888500 -0.1184006110 -0.4225398898 -0.3682173491 0.2818377614 0.5475879169 0.8367242609 -0.0044712310 0.0000000000 0.0000000000 -0.4193307572
0.1119605824 0.1504848003 0.0065309149 -0.0442699119 0.1906635693 0.1661452922 -0.1214029751 0.0021698832 0.0008579972 0.5078717142 0.5382775877 0.8427446694 -0.0062177844 -0.8427334285 0.5383075530 0.0050345733 0.0075899401 0.0025299368 0.9999679956 0.3749040340 0.3618810784 -0.1143302406 0.0001994375 0.0001737665 -0.0000871875 0.0110707916 0.0001759719 0.1754096746 0.1528586745 -0.1169997752 -0.4175406694 -0.3638608456 0.2785032690 0.5493221747 0.8355633923 -0.0062834461 0.0000000000 0.0000000000 -0.4183695778
0.2201909274 0.1426801682 0.0038497332 -0.0386537537 0.1906793158 0.1661511480 -0.1184221395 0.0038929174 0.0013981905 0.6574132193 0.5387869230 0.8424035436 -0.0080573723 -0.8423789894 0.5388389807 0.0070845754 0.0103096977 0.0029702846 0.9999424421 0.4343258021 0.3697575921 -0.1314702485 0.0002704874 0.0002356314 -0.0000982454 0.0125356857 0.0002349505 0.1733343452 0.1510501504 -0.1156155169 -0.4126006067 -0.3595559001 0.2752082050 0.5510421960 0.8343975798 -0.0081599464 0.0000000000 0.0000000000 -0.4171847724
0.3360283375 0.1383593231 0.0031305524 -0.0329809710 0.1907059565 0.1661601178 -0.1146363861 0.0063993151 0.0020750654 0.8262649253 0.5393569551 0.8420187441 -0.0099251995 -0.8419724324 0.5394383190 0.0094192937 0.0132852548 0.0032763828 0.9999063793 0.4904561792 0.3738201833 -0.1463541461 0.0003520788 0.0003066272 -0.0000993488 0.0139152249 0.0003010264 0.1712835729 0.1492630243 -0.1142476350 -0.4077190161 -0.3553018868 0.2719521224 0.5527464968 0.8332276450 -0.0100742940 0.0000000000 0.0000000000 -0.4157889617
0.4550451934 0.1373138428 0.0034444269 -0.0272087120 0.1907479682 0.1661728513 -0.1099446051 0.0098783801 0.0028762255 1.0158901035 0.5399776075 0.8415965069 -0.0118111360 -0.8415176308 0.5400957772 0.0120261553 0.0165003150 0.0034454247 0.9998579242 0.5446580022 0.3766456252 -0.1589700955 0.0004441533 0.0003866632 -0.0000861385 0.0152196819 0.0003737967 0.1692570597 0.1474970430 -0.1128959283 -0.4028951526 -0.3510981798 0.2687345743 0.5544336146 0.8320543962 -0.0120168173 0.0000000000 0.0000000000 -0.4141827045
0.5709901452 0.1392678469 0.0042993831 -0.0213125627 0.1908108162 0.1661899065 -0.1042404052 0.0145321870 0.0037791661 1.2270225854 0.5406386513 0.8411431383 -0.0137138505 -0.8410183662 0.5408013692 0.0148992188 0.0199488448 0.0034785066 0.9997949508 0.5982154365 0.3795879581 -0.1692845926 0.0005466787 0.0004756526 -0.0000537375 0.0164594315 0.0004529101 0.1672545224 0.1457519680 -0.1115602255 -0.3981283605 -0.3469442129 0.2655550838 0.5561019697 0.8308786101 -0.0139866765 0.0000000000 0.0000000000 -0.4123543917
