# Actions and States
# action[0], ..., state[0], ..., command[0], ...
-0.9687177539 0.3178799748 0.1099185348 0.0950187445 -0.0560673773 -0.2214895899 0.2724130997 0.0851641692 0.0000000000 0.0000000000 0.0000000000 0.2586625229 0.9659677527 0.0000000000 -0.9659677527 0.2586625229 0.0000000000 0.0000000000 0.0000000000 1.0000000000 0.0000000000 0.0000000000 0.0000000000 -0.0000079325 0.0000097563 0.0000030501 0.0017805791 0.0000044514 -0.2151890397 0.2646639645 0.0827415660 0.6210075021 -0.7637856603 -0.2387813628 0.2621008457 0.9650404897 0.0000000000 0.0000000000 0.0000000000 -0.3561171302
-0.9647488594 0.2746838331 0.0972809643 0.0981544480 -0.0526568368 -0.2214895897 0.2724130982 0.0850886379 0.0000001558 -0.0000010074 -0.0302125118 0.2586976451 0.9659582588 0.0004132217 -0.9659583447 0.2586975902 0.0001821612 0.0000690607 -0.0004462796 0.9999998980 0.0728609106 -0.1652534182 -0.0145409387 -0.0000316162 0.0000388852 0.0000119678 0.0035248576 0.0000177145 -0.2121063024 0.2608724535 0.0815562308 0.6121110916 -0.7528438568 -0.2353606373 0.2638187950 0.9645720831 0.0004122494 0.0000000000 0.0000000000 -0.3561474918
-0.9583579302 0.2241372913 0.0832879022 0.1017243862 -0.0485248640 -0.2214895850 0.2724130682 0.0848226686 0.0000017439 -0.0000112964 -0.0686221088 0.2588179695 0.9659243836 0.0018286016 -0.9659260668 0.2588168983 0.0008041101 0.0003034366 -0.0019744121 0.9999980048 0.1576468277 -0.3596221521 -0.0315465685 -0.0000708248 0.0000871083 0.0000260012 0.0051818532 0.0000394785 -0.2090677172 0.2571352720 0.0803878754 0.6033421755 -0.7420588136 -0.2319889218 0.2655364041 0.9640973871 0.0018229557 0.0000000000 0.0000000000 -0.3564083604
-0.9491328597 0.1860383153 0.0727770627 0.1045742929 -0.0450904183 -0.2214895644 0.2724129343 0.0843625181 0.0000061450 -0.0000401027 -0.1077239686 0.2590171776 0.9658637308 0.0041659745 -0.9658724751 0.2590116636 0.0018220564 0.0006808222 -0.0044957440 0.9999896623 0.2326448750 -0.5371763895 -0.0471322244 -0.0001253351 0.0001541509 0.0000441030 0.0067604790 0.0000693272 -0.2060726732 0.2534516156 0.0792362615 0.5946988463 -0.7314282656 -0.2286655158 0.2672549191 0.9636079904 0.0041502247 0.0000000000 0.0000000000 -0.3570979850
-0.9375685453 0.1527840346 0.0644082353 0.1074436232 -0.0418786295 -0.2214895087 0.2724125673 0.0837077297 0.0000152310 -0.0001007275 -0.1463444493 0.2592929671 0.9657708982 0.0073300417 -0.9657980113 0.2592761507 0.0031747446 0.0011655709 -0.0079025286 0.9999680952 0.2932011511 -0.6939404098 -0.0628110167 -0.0001949269 0.0002397414 0.0000652165 0.0082664471 0.0001068809 -0.2031205297 0.2498207390 0.0781011432 0.5861793160 -0.7209500670 -0.2253897041 0.2689759948 0.9630915852 0.0072975811 0.0000000000 0.0000000000 -0.3582962095
-0.9231840968 0.1235825717 0.0587606579 0.1104232222 -0.0387028754 -0.2214893879 0.2724117576 0.0828628509 0.0000311302 -0.0002103571 -0.1839137053 0.2596489093 0.9656378572 0.0112237488 -0.9657015712 0.2596104028 0.0047868704 0.0017085814 -0.0120816975 0.9999255539 0.3388415490 -0.8337189003 -0.0791323136 -0.0002793831 0.0003436115 0.0000882967 0.0096995179 0.0001517738 -0.2002106756 0.2462418675 0.0769822821 0.5777818561 -0.7106218934 -0.2221608311 0.2707011129 0.9625338794 0.0111673597 0.0000000000 0.0000000000 -0.3599812651
-0.9058741331 0.0994965136 0.0541026779 0.1131580546 -0.0358180888 -0.2214891582 0.2724101744 0.0818357676 0.0000573663 -0.0004000371 -0.2194506946 0.2600869739 0.9654567047 0.0157517403 -0.9655825126 0.2600132007 0.0065990089 0.0022753970 -0.0169259213 0.9998541572 0.3751541254 -0.9513681645 -0.0952881772 -0.0003784896 0.0004654952 0.0001123308 0.0110608228 0.0002036423 -0.1973425001 0.2427142709 0.0758794546 0.5695047379 -0.7004417181 -0.2189782113 0.2724313620 0.9619201492 0.0156637796 0.0000000000 0.0000000000 -0.3621325408
-0.8858073950 0.0809448734 0.0491143018 0.1153798923 -0.0334133655 -0.2214887538 0.2724072864 0.0806395499 0.0000988734 -0.0007152698 -0.2520194388 0.2606048211 0.9652216351 0.0207923632 -0.9654413058 0.2604793028 0.0085800828 0.0028657013 -0.0223098172 0.9997469979 0.4066604318 -1.0442902213 -0.1106551398 -0.0004920349 0.0006051282 0.0001363598 0.0123556750 0.0002621391 -0.1945154220 0.2392372042 0.0747924298 0.5613461137 -0.6904073358 -0.2158411890 0.2741677696 0.9612376231 0.0206645810 0.0000000000 0.0000000000 -0.3647350569
-0.8628954291 0.0648757443 0.0441714711 0.1189714372 -0.0314551517 -0.2214880812 0.2724023069 0.0792909239 0.0001613984 -0.0012098292 -0.2810430759 0.2611988267 0.9649285180 0.0262321947 -0.9652787146 0.2610024164 0.0107117549 0.0034894116 -0.0281192770 0.9995984845 0.4345185242 -1.1170737958 -0.1252609713 -0.0006198105 0.0007622468 0.0001595000 0.0135904774 0.0003269463 -0.1917288452 0.2358099520 0.0737209693 0.5533044338 -0.6805167794 -0.2127490938 0.2759114429 0.9604762062 0.0260555896 0.0000000000 0.0000000000 -0.3677425565
-0.8375566602 0.0510832071 0.0393736847 0.1231567487 -0.0298592467 -0.2214870147 0.2723941509 0.0778091450 0.0002520018 -0.0019480572 -0.3060096518 0.2618660866 0.9645741831 0.0319812112 -0.9650952858 0.2615772733 0.0129776499 0.0041523480 -0.0342633226 0.9994042139 0.4590652545 -1.1730467444 -0.1392577713 -0.0007616098 0.0009365859 0.0001809593 0.0147705823 0.0003977753 -0.1889821887 0.2324317992 0.0726648644 0.5453779697 -0.6707678437 -0.2097013146 0.2776634638 0.9596281472 0.0317460072 0.0000000000 0.0000000000 -0.3710941958
